feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,2.9312469959259033,0.9912989139556885,2.9638447761535645,0.9911043047904968,-0.03259778022766113
price_only,1,3,4.205807209014893,0.9820470809936523,4.148166179656982,0.9825358390808105,0.057641029357910156
price_only,1,5,5.092688083648682,0.973613977432251,5.054941177368164,0.9740036725997925,0.03774690628051758
price_only,1,10,6.980504512786865,0.9502830505371094,6.844841957092285,0.9521967172622681,0.13566255569458008
price_only,1,15,9.08683967590332,0.9155628681182861,8.434041976928711,0.9272590279579163,0.6527976989746094
price_plus_sentiment,5,1,2.987633228302002,0.990960955619812,4.42840576171875,0.980140745639801,-1.440772533416748
price_plus_sentiment,5,3,4.679686069488525,0.9777736067771912,5.309755802154541,0.9713855981826782,-0.6300697326660156
price_plus_sentiment,5,5,5.501643657684326,0.9692061543464661,6.307008743286133,0.9595306515693665,-0.8053650856018066
price_plus_sentiment,5,10,8.04249382019043,0.9340047836303711,7.938285827636719,0.9357039332389832,0.10420799255371094
price_plus_sentiment,5,15,9.72656536102295,0.9032554030418396,9.125160217285156,0.9148492217063904,0.601405143737793
