asset,model_type,feature_set,n_features,horizon,test_rmse_level,test_r2_level
DIS,LSTM,price_only,1,1,1.9192699193954468,0.9733937382698059
DIS,LSTM,price_only,1,3,2.8829545974731445,0.9391067624092102
DIS,LSTM,price_only,1,5,3.3642961978912354,0.9158959984779358
DIS,LSTM,price_only,1,10,4.91442346572876,0.8136928677558899
DIS,LSTM,price_only,1,15,6.053990364074707,0.7069354057312012
DIS,LSTM,price_plus_sentiment,5,1,2.0703840255737305,0.9690391421318054
DIS,LSTM,price_plus_sentiment,5,3,3.1135971546173096,0.9289737939834595
DIS,LSTM,price_plus_sentiment,5,5,3.7440009117126465,0.8958401679992676
DIS,LSTM,price_plus_sentiment,5,10,5.201175212860107,0.7913168668746948
DIS,LSTM,price_plus_sentiment,5,15,6.9188127517700195,0.6172254085540771
DIS,xLSTM,price_only,1,1,2.069361686706543,0.9690697193145752
DIS,xLSTM,price_only,1,3,2.942178249359131,0.9365792274475098
DIS,xLSTM,price_only,1,5,3.5016045570373535,0.9088907241821289
DIS,xLSTM,price_only,1,10,4.8659868240356445,0.8173472881317139
DIS,xLSTM,price_only,1,15,5.783380031585693,0.7325495481491089
DIS,xLSTM,price_plus_sentiment,5,1,5.0362348556518555,0.8168008923530579
DIS,xLSTM,price_plus_sentiment,5,3,4.925696849822998,0.8222420811653137
DIS,xLSTM,price_plus_sentiment,5,5,5.526060104370117,0.7730869054794312
DIS,xLSTM,price_plus_sentiment,5,10,6.580705642700195,0.6659363508224487
DIS,xLSTM,price_plus_sentiment,5,15,8.944272994995117,0.36030930280685425
