asset,model_type,feature_set,n_features,horizon,test_rmse_level,test_r2_level
JNJ,LSTM,price_only,1,1,1.6105018854141235,0.9497979283332825
JNJ,LSTM,price_only,1,3,2.3075358867645264,0.8970745205879211
JNJ,LSTM,price_only,1,5,2.7281692028045654,0.8563269376754761
JNJ,LSTM,price_only,1,10,3.5582096576690674,0.7555030584335327
JNJ,LSTM,price_only,1,15,4.600154399871826,0.5900459289550781
JNJ,LSTM,price_plus_sentiment,5,1,1.7204234600067139,0.9427111744880676
JNJ,LSTM,price_plus_sentiment,5,3,2.3505241870880127,0.8932039141654968
JNJ,LSTM,price_plus_sentiment,5,5,3.0917768478393555,0.8154776096343994
JNJ,LSTM,price_plus_sentiment,5,10,4.642290115356445,0.5838260650634766
JNJ,LSTM,price_plus_sentiment,5,15,4.460515975952148,0.614556610584259
JNJ,xLSTM,price_only,1,1,1.655577301979065,0.9469484090805054
JNJ,xLSTM,price_only,1,3,2.248170852661133,0.9023022651672363
JNJ,xLSTM,price_only,1,5,2.707369327545166,0.8585093021392822
JNJ,xLSTM,price_only,1,10,3.613360643386841,0.7478650808334351
JNJ,xLSTM,price_only,1,15,4.318077087402344,0.6387804746627808
JNJ,xLSTM,price_plus_sentiment,5,1,4.336961269378662,0.6359421014785767
JNJ,xLSTM,price_plus_sentiment,5,3,2.8832287788391113,0.8393117189407349
JNJ,xLSTM,price_plus_sentiment,5,5,2.879136562347412,0.8399862051010132
JNJ,xLSTM,price_plus_sentiment,5,10,4.59016752243042,0.5931189656257629
JNJ,xLSTM,price_plus_sentiment,5,15,5.101734638214111,0.49577295780181885
