asset,model_type,feature_set,n_features,horizon,test_rmse_level,test_r2_level
JPM,LSTM,price_only,1,1,2.386153221130371,0.9968569278717041
JPM,LSTM,price_only,1,3,3.369014263153076,0.9936900734901428
JPM,LSTM,price_only,1,5,4.05353307723999,0.9908004999160767
JPM,LSTM,price_only,1,10,5.5088019371032715,0.982707679271698
JPM,LSTM,price_only,1,15,6.500063896179199,0.9755275845527649
JPM,LSTM,price_plus_sentiment,5,1,2.5222411155700684,0.9964882135391235
JPM,LSTM,price_plus_sentiment,5,3,3.4866936206817627,0.9932416081428528
JPM,LSTM,price_plus_sentiment,5,5,4.652688503265381,0.9878799319267273
JPM,LSTM,price_plus_sentiment,5,10,6.295833110809326,0.9774137139320374
JPM,LSTM,price_plus_sentiment,5,15,7.040763854980469,0.9712868332862854
JPM,xLSTM,price_only,1,1,2.422776222229004,0.9967597126960754
JPM,xLSTM,price_only,1,3,3.33290696144104,0.9938246011734009
JPM,xLSTM,price_only,1,5,4.176811695098877,0.9902324676513672
JPM,xLSTM,price_only,1,10,5.639897346496582,0.9818748831748962
JPM,xLSTM,price_only,1,15,6.581846237182617,0.9749078750610352
JPM,xLSTM,price_plus_sentiment,5,1,3.1709694862365723,0.9944494366645813
JPM,xLSTM,price_plus_sentiment,5,3,4.139316082000732,0.9904747605323792
JPM,xLSTM,price_plus_sentiment,5,5,4.685813903808594,0.9877067804336548
JPM,xLSTM,price_plus_sentiment,5,10,6.063226222991943,0.9790518283843994
JPM,xLSTM,price_plus_sentiment,5,15,7.101081848144531,0.9707927703857422
