asset,model_type,feature_set,n_features,horizon,test_rmse_level,test_r2_level
MSFT,LSTM,price_only,1,1,5.657228946685791,0.9941244721412659
MSFT,LSTM,price_only,1,3,7.439111232757568,0.989847719669342
MSFT,LSTM,price_only,1,5,8.844572067260742,0.9856483340263367
MSFT,LSTM,price_only,1,10,12.128457069396973,0.972991943359375
MSFT,LSTM,price_only,1,15,14.16858959197998,0.9631454944610596
MSFT,LSTM,price_plus_sentiment,5,1,5.750516414642334,0.9939291477203369
MSFT,LSTM,price_plus_sentiment,5,3,8.619538307189941,0.9863702654838562
MSFT,LSTM,price_plus_sentiment,5,5,11.486685752868652,0.975793182849884
MSFT,LSTM,price_plus_sentiment,5,10,24.88319969177246,0.8863171339035034
MSFT,LSTM,price_plus_sentiment,5,15,15.717544555664062,0.9546469449996948
MSFT,xLSTM,price_only,1,1,5.397006034851074,0.9946525692939758
MSFT,xLSTM,price_only,1,3,7.338172912597656,0.9901213645935059
MSFT,xLSTM,price_only,1,5,8.835951805114746,0.9856762886047363
MSFT,xLSTM,price_only,1,10,11.59401798248291,0.9753196835517883
MSFT,xLSTM,price_only,1,15,14.305631637573242,0.9624291062355042
MSFT,xLSTM,price_plus_sentiment,5,1,20.819162368774414,0.9204273223876953
MSFT,xLSTM,price_plus_sentiment,5,3,21.4993896484375,0.9152045249938965
MSFT,xLSTM,price_plus_sentiment,5,5,21.824111938476562,0.9126181602478027
MSFT,xLSTM,price_plus_sentiment,5,10,23.456605911254883,0.8989787101745605
MSFT,xLSTM,price_plus_sentiment,5,15,21.820985794067383,0.9125850200653076
