asset,model_type,feature_set,n_features,horizon,test_rmse_level,test_r2_level
V,LSTM,price_only,1,1,3.068129539489746,0.9929872751235962
V,LSTM,price_only,1,3,4.280190944671631,0.9862059354782104
V,LSTM,price_only,1,5,5.116815090179443,0.9800978899002075
V,LSTM,price_only,1,10,6.709600925445557,0.9650606513023376
V,LSTM,price_only,1,15,8.058943748474121,0.9488100409507751
V,LSTM,price_plus_sentiment,5,1,3.6124889850616455,0.9902780055999756
V,LSTM,price_plus_sentiment,5,3,4.684482574462891,0.983476996421814
V,LSTM,price_plus_sentiment,5,5,5.979212760925293,0.9728238582611084
V,LSTM,price_plus_sentiment,5,10,8.811731338500977,0.9397379159927368
V,LSTM,price_plus_sentiment,5,15,10.093400001525879,0.9197022914886475
V,xLSTM,price_only,1,1,3.170283079147339,0.9925125241279602
V,xLSTM,price_only,1,3,4.258485794067383,0.9863454699516296
V,xLSTM,price_only,1,5,5.170642852783203,0.9796769618988037
V,xLSTM,price_only,1,10,6.713783264160156,0.9650170803070068
V,xLSTM,price_only,1,15,7.851080417633057,0.9514166712760925
V,xLSTM,price_plus_sentiment,5,1,5.491800308227539,0.9775316715240479
V,xLSTM,price_plus_sentiment,5,3,5.203707695007324,0.9796111583709717
V,xLSTM,price_plus_sentiment,5,5,6.596665382385254,0.9669212698936462
V,xLSTM,price_plus_sentiment,5,10,7.92516565322876,0.9512540698051453
V,xLSTM,price_plus_sentiment,5,15,9.863558769226074,0.9233176112174988
