asset,model_type,feature_set,n_features,horizon,test_rmse_level,test_r2_level
AAPL,LSTM,price_only,1,1,2.9312469959259033,0.9912989139556885
AAPL,LSTM,price_only,1,3,4.205807209014893,0.9820470809936523
AAPL,LSTM,price_only,1,5,5.092688083648682,0.973613977432251
AAPL,LSTM,price_only,1,10,6.980504512786865,0.9502830505371094
AAPL,LSTM,price_only,1,15,9.08683967590332,0.9155628681182861
AAPL,LSTM,price_plus_sentiment,5,1,2.987633228302002,0.990960955619812
AAPL,LSTM,price_plus_sentiment,5,3,4.679686069488525,0.9777736067771912
AAPL,LSTM,price_plus_sentiment,5,5,5.501643657684326,0.9692061543464661
AAPL,LSTM,price_plus_sentiment,5,10,8.04249382019043,0.9340047836303711
AAPL,LSTM,price_plus_sentiment,5,15,9.72656536102295,0.9032554030418396
AAPL,xLSTM,price_only,1,1,2.9638447761535645,0.9911043047904968
AAPL,xLSTM,price_only,1,3,4.148166179656982,0.9825358390808105
AAPL,xLSTM,price_only,1,5,5.054941177368164,0.9740036725997925
AAPL,xLSTM,price_only,1,10,6.844841957092285,0.9521967172622681
AAPL,xLSTM,price_only,1,15,8.434041976928711,0.9272590279579163
AAPL,xLSTM,price_plus_sentiment,5,1,4.42840576171875,0.980140745639801
AAPL,xLSTM,price_plus_sentiment,5,3,5.309755802154541,0.9713855981826782
AAPL,xLSTM,price_plus_sentiment,5,5,6.307008743286133,0.9595306515693665
AAPL,xLSTM,price_plus_sentiment,5,10,7.938285827636719,0.9357039332389832
AAPL,xLSTM,price_plus_sentiment,5,15,9.125160217285156,0.9148492217063904
DIS,LSTM,price_only,1,1,1.9192699193954468,0.9733937382698059
DIS,LSTM,price_only,1,3,2.8829545974731445,0.9391067624092102
DIS,LSTM,price_only,1,5,3.3642961978912354,0.9158959984779358
DIS,LSTM,price_only,1,10,4.91442346572876,0.8136928677558899
DIS,LSTM,price_only,1,15,6.053990364074707,0.7069354057312012
DIS,LSTM,price_plus_sentiment,5,1,2.0703840255737305,0.9690391421318054
DIS,LSTM,price_plus_sentiment,5,3,3.1135971546173096,0.9289737939834595
DIS,LSTM,price_plus_sentiment,5,5,3.7440009117126465,0.8958401679992676
DIS,LSTM,price_plus_sentiment,5,10,5.201175212860107,0.7913168668746948
DIS,LSTM,price_plus_sentiment,5,15,6.9188127517700195,0.6172254085540771
DIS,xLSTM,price_only,1,1,2.069361686706543,0.9690697193145752
DIS,xLSTM,price_only,1,3,2.942178249359131,0.9365792274475098
DIS,xLSTM,price_only,1,5,3.5016045570373535,0.9088907241821289
DIS,xLSTM,price_only,1,10,4.8659868240356445,0.8173472881317139
DIS,xLSTM,price_only,1,15,5.783380031585693,0.7325495481491089
DIS,xLSTM,price_plus_sentiment,5,1,5.0362348556518555,0.8168008923530579
