asset,model,h,delta_rmse_F5_minus_F1,delta_r2_F5_minus_F1
AAPL,LSTM,1,0.05638623237609863,-0.00033795833587646484
AAPL,LSTM,3,0.4738788604736328,-0.004273474216461182
AAPL,LSTM,5,0.40895557403564453,-0.004407823085784912
AAPL,LSTM,10,1.0619893074035645,-0.01627826690673828
AAPL,LSTM,15,0.6397256851196289,-0.012307465076446533
AAPL,xLSTM,1,1.4645609855651855,-0.0109635591506958
AAPL,xLSTM,3,1.1615896224975586,-0.011150240898132324
AAPL,xLSTM,5,1.2520675659179688,-0.014473021030426025
AAPL,xLSTM,10,1.0934438705444336,-0.016492784023284912
AAPL,xLSTM,15,0.6911182403564453,-0.012409806251525879
DIS,LSTM,1,0.1511141061782837,-0.004354596138000488
DIS,LSTM,3,0.23064255714416504,-0.010132968425750732
DIS,LSTM,5,0.37970471382141113,-0.020055830478668213
DIS,LSTM,10,0.28675174713134766,-0.02237600088119507
DIS,LSTM,15,0.8648223876953125,-0.08970999717712402
DIS,xLSTM,1,2.9668731689453125,-0.15226882696151733
DIS,xLSTM,3,1.9835186004638672,-0.11433714628219604
DIS,xLSTM,5,2.0244555473327637,-0.13580381870269775
DIS,xLSTM,10,1.7147188186645508,-0.15141093730926514
DIS,xLSTM,15,3.160892963409424,-0.37224024534225464
IBM,LSTM,1,0.0505223274230957,-0.00018894672393798828
IBM,LSTM,3,0.04223227500915527,-0.00022673606872558594
IBM,LSTM,5,0.1353011131286621,-0.0008525252342224121
IBM,LSTM,10,0.2736077308654785,-0.0024068355560302734
IBM,LSTM,15,0.6195831298828125,-0.0070767998695373535
IBM,xLSTM,1,0.8464689254760742,-0.0038104653358459473
IBM,xLSTM,3,0.4298419952392578,-0.00238955020904541
IBM,xLSTM,5,0.18891143798828125,-0.0012295842170715332
IBM,xLSTM,10,0.41372156143188477,-0.0037271976470947266
IBM,xLSTM,15,0.3349800109863281,-0.003811955451965332
INTC,LSTM,1,0.03750050067901611,-0.001210033893585205
INTC,LSTM,3,-0.05029475688934326,0.002362966537475586
