asset,model,feature,n_features,h,rmse_level,r2_level,er_rmse_level,er_r2_level,F
AAPL,LSTM,price_only,1,1,2.9312469959259033,0.9912989139556885,-0.03259778022766113,-0.0001946091651916504,F1
AAPL,LSTM,price_only,1,3,4.205807209014893,0.9820470809936523,0.057641029357910156,0.0004887580871582031,F1
AAPL,LSTM,price_only,1,5,5.092688083648682,0.973613977432251,0.03774690628051758,0.0003896951675415039,F1
AAPL,LSTM,price_only,1,10,6.980504512786865,0.9502830505371094,0.13566255569458008,0.0019136667251586914,F1
AAPL,LSTM,price_only,1,15,9.08683967590332,0.9155628681182861,0.6527976989746094,0.011696159839630127,F1
AAPL,LSTM,price_plus_sentiment,5,1,2.987633228302002,0.990960955619812,-1.440772533416748,-0.010820209980010986,F5
AAPL,LSTM,price_plus_sentiment,5,3,4.679686069488525,0.9777736067771912,-0.6300697326660156,-0.0063880085945129395,F5
AAPL,LSTM,price_plus_sentiment,5,5,5.501643657684326,0.9692061543464661,-0.8053650856018066,-0.00967550277709961,F5
AAPL,LSTM,price_plus_sentiment,5,10,8.04249382019043,0.9340047836303711,0.10420799255371094,0.0016991496086120605,F5
AAPL,LSTM,price_plus_sentiment,5,15,9.72656536102295,0.9032554030418396,0.601405143737793,0.011593818664550781,F5
AAPL,xLSTM,price_only,1,1,2.9638447761535645,0.9911043047904968,-0.03259778022766113,-0.0001946091651916504,F1
AAPL,xLSTM,price_only,1,3,4.148166179656982,0.9825358390808105,0.057641029357910156,0.0004887580871582031,F1
AAPL,xLSTM,price_only,1,5,5.054941177368164,0.9740036725997925,0.03774690628051758,0.0003896951675415039,F1
AAPL,xLSTM,price_only,1,10,6.844841957092285,0.9521967172622681,0.13566255569458008,0.0019136667251586914,F1
AAPL,xLSTM,price_only,1,15,8.434041976928711,0.9272590279579163,0.6527976989746094,0.011696159839630127,F1
AAPL,xLSTM,price_plus_sentiment,5,1,4.42840576171875,0.980140745639801,-1.440772533416748,-0.010820209980010986,F5
AAPL,xLSTM,price_plus_sentiment,5,3,5.309755802154541,0.9713855981826782,-0.6300697326660156,-0.0063880085945129395,F5
AAPL,xLSTM,price_plus_sentiment,5,5,6.307008743286133,0.9595306515693665,-0.8053650856018066,-0.00967550277709961,F5
AAPL,xLSTM,price_plus_sentiment,5,10,7.938285827636719,0.9357039332389832,0.10420799255371094,0.0016991496086120605,F5
AAPL,xLSTM,price_plus_sentiment,5,15,9.125160217285156,0.9148492217063904,0.601405143737793,0.011593818664550781,F5
DIS,LSTM,price_only,1,1,1.9192699193954468,0.9733937382698059,-0.1500917673110962,-0.004324018955230713,F1
DIS,LSTM,price_only,1,3,2.8829545974731445,0.9391067624092102,-0.05922365188598633,-0.0025275349617004395,F1
DIS,LSTM,price_only,1,5,3.3642961978912354,0.9158959984779358,-0.13730835914611816,-0.007005274295806885,F1
DIS,LSTM,price_only,1,10,4.91442346572876,0.8136928677558899,0.048436641693115234,0.0036544203758239746,F1
DIS,LSTM,price_only,1,15,6.053990364074707,0.7069354057312012,0.27061033248901367,0.025614142417907715,F1
DIS,LSTM,price_plus_sentiment,5,1,2.0703840255737305,0.9690391421318054,-2.965850830078125,-0.15223824977874756,F5
DIS,LSTM,price_plus_sentiment,5,3,3.1135971546173096,0.9289737939834595,-1.8120996952056885,-0.10673171281814575,F5
DIS,LSTM,price_plus_sentiment,5,5,3.7440009117126465,0.8958401679992676,-1.7820591926574707,-0.12275326251983643,F5
DIS,LSTM,price_plus_sentiment,5,10,5.201175212860107,0.7913168668746948,-1.379530429840088,-0.1253805160522461,F5
DIS,LSTM,price_plus_sentiment,5,15,6.9188127517700195,0.6172254085540771,-2.0254602432250977,-0.2569161057472229,F5
DIS,xLSTM,price_only,1,1,2.069361686706543,0.9690697193145752,-0.1500917673110962,-0.004324018955230713,F1
DIS,xLSTM,price_only,1,3,2.942178249359131,0.9365792274475098,-0.05922365188598633,-0.0025275349617004395,F1
DIS,xLSTM,price_only,1,5,3.5016045570373535,0.9088907241821289,-0.13730835914611816,-0.007005274295806885,F1
DIS,xLSTM,price_only,1,10,4.8659868240356445,0.8173472881317139,0.048436641693115234,0.0036544203758239746,F1
DIS,xLSTM,price_only,1,15,5.783380031585693,0.7325495481491089,0.27061033248901367,0.025614142417907715,F1
DIS,xLSTM,price_plus_sentiment,5,1,5.0362348556518555,0.8168008923530579,-2.965850830078125,-0.15223824977874756,F5
DIS,xLSTM,price_plus_sentiment,5,3,4.925696849822998,0.8222420811653137,-1.8120996952056885,-0.10673171281814575,F5
DIS,xLSTM,price_plus_sentiment,5,5,5.526060104370117,0.7730869054794312,-1.7820591926574707,-0.12275326251983643,F5
DIS,xLSTM,price_plus_sentiment,5,10,6.580705642700195,0.6659363508224487,-1.379530429840088,-0.1253805160522461,F5
DIS,xLSTM,price_plus_sentiment,5,15,8.944272994995117,0.36030930280685425,-2.0254602432250977,-0.2569161057472229,F5
IBM,LSTM,price_only,1,1,2.436636447906494,0.9954910278320312,-0.10386013984680176,-0.00039255619049072266,F1
IBM,LSTM,price_only,1,3,3.4775333404541016,0.9907218813896179,0.06950616836547852,0.00036716461181640625,F1
IBM,LSTM,price_only,1,5,4.009603023529053,0.9875778555870056,-0.10787010192871094,-0.0006774067878723145,F1
IBM,LSTM,price_only,1,10,5.482697486877441,0.9764723777770996,-0.06555938720703125,-0.0005660057067871094,F1
IBM,LSTM,price_only,1,15,6.9043755531311035,0.962262749671936,-0.11570596694946289,-0.0012754201889038086,F1
IBM,LSTM,price_plus_sentiment,5,1,2.48715877532959,0.9953020811080933,-0.8998067378997803,-0.004014074802398682,F5
IBM,LSTM,price_plus_sentiment,5,3,3.519765615463257,0.9904951453208923,-0.318103551864624,-0.001795649528503418,F5
IBM,LSTM,price_plus_sentiment,5,5,4.144904136657715,0.9867253303527832,-0.16148042678833008,-0.0010544657707214355,F5
IBM,LSTM,price_plus_sentiment,5,10,5.75630521774292,0.9740655422210693,-0.2056732177734375,-0.0018863677978515625,F5
IBM,LSTM,price_plus_sentiment,5,15,7.523958683013916,0.9551859498023987,0.16889715194702148,0.001989424228668213,F5
IBM,xLSTM,price_only,1,1,2.540496587753296,0.9950984716415405,-0.10386013984680176,-0.00039255619049072266,F1
IBM,xLSTM,price_only,1,3,3.408027172088623,0.9910890460014343,0.06950616836547852,0.00036716461181640625,F1
IBM,xLSTM,price_only,1,5,4.117473125457764,0.9869004487991333,-0.10787010192871094,-0.0006774067878723145,F1
IBM,xLSTM,price_only,1,10,5.548256874084473,0.9759063720703125,-0.06555938720703125,-0.0005660057067871094,F1
IBM,xLSTM,price_only,1,15,7.020081520080566,0.9609873294830322,-0.11570596694946289,-0.0012754201889038086,F1
IBM,xLSTM,price_plus_sentiment,5,1,3.38696551322937,0.9912880063056946,-0.8998067378997803,-0.004014074802398682,F5
IBM,xLSTM,price_plus_sentiment,5,3,3.837869167327881,0.9886994957923889,-0.318103551864624,-0.001795649528503418,F5
IBM,xLSTM,price_plus_sentiment,5,5,4.306384563446045,0.9856708645820618,-0.16148042678833008,-0.0010544657707214355,F5
IBM,xLSTM,price_plus_sentiment,5,10,5.961978435516357,0.9721791744232178,-0.2056732177734375,-0.0018863677978515625,F5
IBM,xLSTM,price_plus_sentiment,5,15,7.3550615310668945,0.9571753740310669,0.16889715194702148,0.001989424228668213,F5
INTC,LSTM,price_only,1,1,0.9140065908432007,0.9855501651763916,-0.02371770143508911,-0.0007596611976623535,F1
INTC,LSTM,price_only,1,3,1.3754057884216309,0.9670884013175964,-0.11729371547698975,-0.005852699279785156,F1
INTC,LSTM,price_only,1,5,1.6047730445861816,0.954880952835083,-0.10944116115570068,-0.006363868713378906,F1
INTC,LSTM,price_only,1,10,2.18721866607666,0.9147999286651611,-0.008082151412963867,-0.0006308555603027344,F1
INTC,LSTM,price_only,1,15,2.679182767868042,0.8704201579093933,0.031595468521118164,0.0030382275581359863,F1
INTC,LSTM,price_plus_sentiment,5,1,0.9515070915222168,0.9843401312828064,-0.48064124584198,-0.01981663703918457,F5
INTC,LSTM,price_plus_sentiment,5,3,1.3251110315322876,0.969451367855072,-0.6973437070846558,-0.04061281681060791,F5
INTC,LSTM,price_plus_sentiment,5,5,1.6912121772766113,0.9498894810676575,-0.35550689697265625,-0.023281633853912354,F5
INTC,LSTM,price_plus_sentiment,5,10,2.6155312061309814,0.8781640529632568,-0.0949258804321289,-0.00900411605834961,F5
INTC,LSTM,price_plus_sentiment,5,15,2.746981382369995,0.8637789487838745,-0.43613672256469727,-0.04668927192687988,F5
INTC,xLSTM,price_only,1,1,0.9377242922782898,0.9847905039787292,-0.02371770143508911,-0.0007596611976623535,F1
INTC,xLSTM,price_only,1,3,1.4926995038986206,0.9612357020378113,-0.11729371547698975,-0.005852699279785156,F1
INTC,xLSTM,price_only,1,5,1.7142142057418823,0.9485170841217041,-0.10944116115570068,-0.006363868713378906,F1
INTC,xLSTM,price_only,1,10,2.195300817489624,0.9141690731048584,-0.008082151412963867,-0.0006308555603027344,F1
INTC,xLSTM,price_only,1,15,2.647587299346924,0.8734583854675293,0.031595468521118164,0.0030382275581359863,F1
INTC,xLSTM,price_plus_sentiment,5,1,1.4321483373641968,0.9645234942436218,-0.48064124584198,-0.01981663703918457,F5
INTC,xLSTM,price_plus_sentiment,5,3,2.0224547386169434,0.9288385510444641,-0.6973437070846558,-0.04061281681060791,F5
INTC,xLSTM,price_plus_sentiment,5,5,2.0467190742492676,0.9266078472137451,-0.35550689697265625,-0.023281633853912354,F5
INTC,xLSTM,price_plus_sentiment,5,10,2.7104570865631104,0.8691599369049072,-0.0949258804321289,-0.00900411605834961,F5
INTC,xLSTM,price_plus_sentiment,5,15,3.1831181049346924,0.8170896768569946,-0.43613672256469727,-0.04668927192687988,F5
JNJ,LSTM,price_only,1,1,1.6105018854141235,0.9497979283332825,-0.045075416564941406,-0.0028495192527770996,F1
JNJ,LSTM,price_only,1,3,2.3075358867645264,0.8970745205879211,0.059365034103393555,0.0052277445793151855,F1
JNJ,LSTM,price_only,1,5,2.7281692028045654,0.8563269376754761,0.020799875259399414,0.0021823644638061523,F1
JNJ,LSTM,price_only,1,10,3.5582096576690674,0.7555030584335327,-0.05515098571777344,-0.007637977600097656,F1
JNJ,LSTM,price_only,1,15,4.600154399871826,0.5900459289550781,0.2820773124694824,0.04873454570770264,F1
JNJ,LSTM,price_plus_sentiment,5,1,1.7204234600067139,0.9427111744880676,-2.6165378093719482,-0.30676907300949097,F5
JNJ,LSTM,price_plus_sentiment,5,3,2.3505241870880127,0.8932039141654968,-0.5327045917510986,-0.05389219522476196,F5
JNJ,LSTM,price_plus_sentiment,5,5,3.0917768478393555,0.8154776096343994,0.21264028549194336,0.02450859546661377,F5
JNJ,LSTM,price_plus_sentiment,5,10,4.642290115356445,0.5838260650634766,0.05212259292602539,0.009292900562286377,F5
JNJ,LSTM,price_plus_sentiment,5,15,4.460515975952148,0.614556610584259,-0.6412186622619629,-0.11878365278244019,F5
JNJ,xLSTM,price_only,1,1,1.655577301979065,0.9469484090805054,-0.045075416564941406,-0.0028495192527770996,F1
JNJ,xLSTM,price_only,1,3,2.248170852661133,0.9023022651672363,0.059365034103393555,0.0052277445793151855,F1
JNJ,xLSTM,price_only,1,5,2.707369327545166,0.8585093021392822,0.020799875259399414,0.0021823644638061523,F1
JNJ,xLSTM,price_only,1,10,3.613360643386841,0.7478650808334351,-0.05515098571777344,-0.007637977600097656,F1
JNJ,xLSTM,price_only,1,15,4.318077087402344,0.6387804746627808,0.2820773124694824,0.04873454570770264,F1
JNJ,xLSTM,price_plus_sentiment,5,1,4.336961269378662,0.6359421014785767,-2.6165378093719482,-0.30676907300949097,F5
JNJ,xLSTM,price_plus_sentiment,5,3,2.8832287788391113,0.8393117189407349,-0.5327045917510986,-0.05389219522476196,F5
JNJ,xLSTM,price_plus_sentiment,5,5,2.879136562347412,0.8399862051010132,0.21264028549194336,0.02450859546661377,F5
JNJ,xLSTM,price_plus_sentiment,5,10,4.59016752243042,0.5931189656257629,0.05212259292602539,0.009292900562286377,F5
JNJ,xLSTM,price_plus_sentiment,5,15,5.101734638214111,0.49577295780181885,-0.6412186622619629,-0.11878365278244019,F5
JPM,LSTM,price_only,1,1,2.386153221130371,0.9968569278717041,-0.03662300109863281,-9.721517562866211e-05,F1
JPM,LSTM,price_only,1,3,3.369014263153076,0.9936900734901428,0.03610730171203613,0.00013452768325805664,F1
JPM,LSTM,price_only,1,5,4.05353307723999,0.9908004999160767,-0.12327861785888672,-0.0005680322647094727,F1
JPM,LSTM,price_only,1,10,5.5088019371032715,0.982707679271698,-0.13109540939331055,-0.0008327960968017578,F1
JPM,LSTM,price_only,1,15,6.500063896179199,0.9755275845527649,-0.08178234100341797,-0.0006197094917297363,F1
JPM,LSTM,price_plus_sentiment,5,1,2.5222411155700684,0.9964882135391235,-0.6487283706665039,-0.0020387768745422363,F5
JPM,LSTM,price_plus_sentiment,5,3,3.4866936206817627,0.9932416081428528,-0.6526224613189697,-0.002766847610473633,F5
JPM,LSTM,price_plus_sentiment,5,5,4.652688503265381,0.9878799319267273,-0.03312540054321289,-0.00017315149307250977,F5
JPM,LSTM,price_plus_sentiment,5,10,6.295833110809326,0.9774137139320374,0.2326068878173828,0.0016381144523620605,F5
JPM,LSTM,price_plus_sentiment,5,15,7.040763854980469,0.9712868332862854,-0.0603179931640625,-0.0004940629005432129,F5
JPM,xLSTM,price_only,1,1,2.422776222229004,0.9967597126960754,-0.03662300109863281,-9.721517562866211e-05,F1
JPM,xLSTM,price_only,1,3,3.33290696144104,0.9938246011734009,0.03610730171203613,0.00013452768325805664,F1
JPM,xLSTM,price_only,1,5,4.176811695098877,0.9902324676513672,-0.12327861785888672,-0.0005680322647094727,F1
JPM,xLSTM,price_only,1,10,5.639897346496582,0.9818748831748962,-0.13109540939331055,-0.0008327960968017578,F1
JPM,xLSTM,price_only,1,15,6.581846237182617,0.9749078750610352,-0.08178234100341797,-0.0006197094917297363,F1
JPM,xLSTM,price_plus_sentiment,5,1,3.1709694862365723,0.9944494366645813,-0.6487283706665039,-0.0020387768745422363,F5
JPM,xLSTM,price_plus_sentiment,5,3,4.139316082000732,0.9904747605323792,-0.6526224613189697,-0.002766847610473633,F5
JPM,xLSTM,price_plus_sentiment,5,5,4.685813903808594,0.9877067804336548,-0.03312540054321289,-0.00017315149307250977,F5
JPM,xLSTM,price_plus_sentiment,5,10,6.063226222991943,0.9790518283843994,0.2326068878173828,0.0016381144523620605,F5
JPM,xLSTM,price_plus_sentiment,5,15,7.101081848144531,0.9707927703857422,-0.0603179931640625,-0.0004940629005432129,F5
KO,LSTM,price_only,1,1,0.571593701839447,0.9806825518608093,-0.025880515575408936,-0.0017889142036437988,F1
KO,LSTM,price_only,1,3,0.8150955438613892,0.960719883441925,-0.01887500286102295,-0.0018402934074401855,F1
KO,LSTM,price_only,1,5,0.9770390391349792,0.9435954689979553,-0.0011574029922485352,-0.00013369321823120117,F1
KO,LSTM,price_only,1,10,1.3464322090148926,0.8931987285614014,-0.0032924413681030273,-0.000522911548614502,F1
KO,LSTM,price_only,1,15,1.6975146532058716,0.830937385559082,0.050072669982910156,0.00982677936553955,F1
KO,LSTM,price_plus_sentiment,5,1,0.5789687037467957,0.9801807999610901,-0.08842110633850098,-0.006515860557556152,F5
KO,LSTM,price_plus_sentiment,5,3,0.8228943347930908,0.9599646329879761,-0.21840620040893555,-0.024071991443634033,F5
KO,LSTM,price_plus_sentiment,5,5,0.9980185031890869,0.9411471486091614,-0.07496535778045654,-0.009173393249511719,F5
KO,LSTM,price_plus_sentiment,5,10,1.4420723915100098,0.8774871826171875,0.049213290214538574,0.008219301700592041,F5
KO,LSTM,price_plus_sentiment,5,15,1.8041245937347412,0.809035062789917,0.08666551113128662,0.0179063081741333,F5
KO,xLSTM,price_only,1,1,0.597474217414856,0.9788936376571655,-0.025880515575408936,-0.0017889142036437988,F1
KO,xLSTM,price_only,1,3,0.8339705467224121,0.9588795900344849,-0.01887500286102295,-0.0018402934074401855,F1
KO,xLSTM,price_only,1,5,0.9781964421272278,0.9434617757797241,-0.0011574029922485352,-0.00013369321823120117,F1
KO,xLSTM,price_only,1,10,1.3497246503829956,0.8926758170127869,-0.0032924413681030273,-0.000522911548614502,F1
KO,xLSTM,price_only,1,15,1.6474419832229614,0.8407641649246216,0.050072669982910156,0.00982677936553955,F1
KO,xLSTM,price_plus_sentiment,5,1,0.6673898100852966,0.9736649394035339,-0.08842110633850098,-0.006515860557556152,F5
KO,xLSTM,price_plus_sentiment,5,3,1.0413005352020264,0.935892641544342,-0.21840620040893555,-0.024071991443634033,F5
KO,xLSTM,price_plus_sentiment,5,5,1.0729838609695435,0.9319737553596497,-0.07496535778045654,-0.009173393249511719,F5
KO,xLSTM,price_plus_sentiment,5,10,1.3928591012954712,0.8857064843177795,0.049213290214538574,0.008219301700592041,F5
KO,xLSTM,price_plus_sentiment,5,15,1.7174590826034546,0.8269413709640503,0.08666551113128662,0.0179063081741333,F5
MSFT,LSTM,price_only,1,1,5.657228946685791,0.9941244721412659,0.2602229118347168,0.0005280971527099609,F1
MSFT,LSTM,price_only,1,3,7.439111232757568,0.989847719669342,0.10093832015991211,0.00027364492416381836,F1
MSFT,LSTM,price_only,1,5,8.844572067260742,0.9856483340263367,0.008620262145996094,2.7954578399658203e-05,F1
MSFT,LSTM,price_only,1,10,12.128457069396973,0.972991943359375,0.5344390869140625,0.00232774019241333,F1
MSFT,LSTM,price_only,1,15,14.16858959197998,0.9631454944610596,-0.13704204559326172,-0.0007163882255554199,F1
MSFT,LSTM,price_plus_sentiment,5,1,5.750516414642334,0.9939291477203369,-15.06864595413208,-0.0735018253326416,F5
MSFT,LSTM,price_plus_sentiment,5,3,8.619538307189941,0.9863702654838562,-12.879851341247559,-0.07116574048995972,F5
MSFT,LSTM,price_plus_sentiment,5,5,11.486685752868652,0.975793182849884,-10.33742618560791,-0.0631750226020813,F5
MSFT,LSTM,price_plus_sentiment,5,10,24.88319969177246,0.8863171339035034,1.4265937805175781,0.012661576271057129,F5
MSFT,LSTM,price_plus_sentiment,5,15,15.717544555664062,0.9546469449996948,-6.10344123840332,-0.04206192493438721,F5
MSFT,xLSTM,price_only,1,1,5.397006034851074,0.9946525692939758,0.2602229118347168,0.0005280971527099609,F1
MSFT,xLSTM,price_only,1,3,7.338172912597656,0.9901213645935059,0.10093832015991211,0.00027364492416381836,F1
MSFT,xLSTM,price_only,1,5,8.835951805114746,0.9856762886047363,0.008620262145996094,2.7954578399658203e-05,F1
MSFT,xLSTM,price_only,1,10,11.59401798248291,0.9753196835517883,0.5344390869140625,0.00232774019241333,F1
MSFT,xLSTM,price_only,1,15,14.305631637573242,0.9624291062355042,-0.13704204559326172,-0.0007163882255554199,F1
MSFT,xLSTM,price_plus_sentiment,5,1,20.819162368774414,0.9204273223876953,-15.06864595413208,-0.0735018253326416,F5
MSFT,xLSTM,price_plus_sentiment,5,3,21.4993896484375,0.9152045249938965,-12.879851341247559,-0.07116574048995972,F5
MSFT,xLSTM,price_plus_sentiment,5,5,21.824111938476562,0.9126181602478027,-10.33742618560791,-0.0631750226020813,F5
MSFT,xLSTM,price_plus_sentiment,5,10,23.456605911254883,0.8989787101745605,1.4265937805175781,0.012661576271057129,F5
MSFT,xLSTM,price_plus_sentiment,5,15,21.820985794067383,0.9125850200653076,-6.10344123840332,-0.04206192493438721,F5
NKE,LSTM,price_only,1,1,2.2023849487304688,0.9782106280326843,-0.0733497142791748,-0.001475512981414795,F1
NKE,LSTM,price_only,1,3,3.4049596786499023,0.9475562572479248,0.09786748886108398,0.002971470355987549,F1
